Statistical profiling result from isolate-0x4ea6bf0-409463-v8-409463.log, (26432 ticks, 89 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     24    0.1%    0.2%  LazyCompile: *removeAllListeners node:events:558:32
     24    0.1%    0.2%  LazyCompile: *FilterSubscriber._next /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/rxjs@6.6.7/node_modules/rxjs/internal/operators/filter.js:42:49
     24    0.1%    0.2%  LazyCompile: *<anonymous> node:_http_outgoing:567:45
     23    0.1%    0.2%  LazyCompile: *Subscriber /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/rxjs@6.6.7/node_modules/rxjs/internal/Subscriber.js:24:24
     21    0.1%    0.2%  RegExp: ^.*[/\\]
     21    0.1%    0.2%  LazyCompile: *clearIncoming node:_http_server:752:23
     21    0.1%    0.2%  LazyCompile: *<anonymous> /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/rxjs@6.6.7/node_modules/rxjs/internal/operators/mapTo.js:18:21
     21    0.1%    0.2%  LazyCompile: *<anonymous> /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/@marblejs+core@3.4.9_fp-ts@2.10.2+rxjs@6.6.7/node_modules/@marblejs/core/dist/http/response/http.responseBody.factory.js:8:34
     20    0.1%    0.2%  LazyCompile: *emitReadable_ node:internal/streams/readable:570:23
     19    0.1%    0.2%  LazyCompile: *onParserExecute node:_http_server:639:25
     19    0.1%    0.2%  LazyCompile: *matchKnownFields node:_http_incoming:222:26
     19    0.1%    0.2%  LazyCompile: *catchErrorOperatorFunction /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/rxjs@6.6.7/node_modules/rxjs/internal/operators/catchError.js:18:47
     19    0.1%    0.2%  LazyCompile: *Socket.resume node:net:609:35
     18    0.1%    0.2%  LazyCompile: *slowCases node:internal/util:139:19
